WP_who	O
VVZ_play	O
NN_luke	B-character.name
IN_on	O
NN_star	B-movie.name
NNS_war	I-movie.name
JJ_new	I-movie.name
NN_hope	I-movie.name
	
NN_show	O
NNS_credit	O
IN_for	O
DT_the	B-movie.name
NN_godfather	I-movie.name
	
WP_who	O
VBD_be	O
DT_the	O
JJ_main	O
NN_actor	O
IN_in	O
DT_the	B-movie.name
NN_exorcist	I-movie.name
	
VV_find	O
DT_the	O
JJ_female	O
NN_actress	O
IN_from	O
DT_the	O
NN_movie	O
PP_she	B-movie.name
VBZ_be	I-movie.name
DT_the	I-movie.name
NN_man	I-movie.name
	
WP_who	O
VVD_play	O
NN_dory	B-character.name
IN_on	O
VVG_find	B-movie.name
NN_nemo	I-movie.name
	
WP_who	O
VBD_be	O
DT_the	O
JJ_female	O
NN_lead	O
IN_in	O
JJ_resident	B-movie.name
NN_evil	I-movie.name
	
WP_who	O
VVD_play	O
NN_guido	B-character.name
IN_in	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
WP_who	O
VBD_be	O
DT_the	O
NN_co-star	O
IN_in	O
NN_shoot	B-movie.name
TO_to	I-movie.name
VV_kill	I-movie.name
	
VV_find	O
DT_the	O
NN_guy	O
WP_who	O
VVZ_play	O
NN_charlie	B-character.name
IN_on	O
NN_charlie	B-movie.name
POS_'s	I-movie.name
NNS_angel	I-movie.name
	
NN_cast	O
CC_and	O
NN_crew	O
IN_of	O
NN_movie	O
DT_the	B-movie.name
NN_campaign	I-movie.name
	
NN_cast	O
CC_and	O
NN_crew	O
IN_of	O
DT_the	B-movie.name
NN_campaign	I-movie.name
	
WP_who	O
VVZ_play	O
IN_in	O
DT_the	O
NN_movie	O
DT_the	B-movie.name
NN_campaign	I-movie.name
	
WP_who	O
VVD_star	O
IN_in	O
DT_the	B-movie.name
NN_campaign	I-movie.name
	
WP_who	O
VBD_be	O
DT_the	O
NN_crew	O
IN_for	O
DT_the	B-movie.name
NN_campaign	I-movie.name
	
WP_who	O
VBD_be	O
DT_the	O
JJ_lead	O
NN_man	O
IN_in	O
NN_taxi	B-movie.name
NN_driver	I-movie.name
	
NN_star	O
IN_of	O
NN_twilight	B-movie.name
	
WP_who	O
VVZ_star	O
IN_in	O
NN_vulgaria	B-movie.name
	
WP_what	O
VBP_be	O
DT_the	O
NNS_name	O
IN_of	O
JJ_female	O
NNS_actor	O
WP_who	O
VVD_play	O
IN_in	O
VVN_lose	B-movie.name
	
MD_can	O
NNS_i	O
VV_see	O
DT_the	O
VVN_set	O
NN_list	O
CC_and	O
NN_cast	O
IN_for	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
NN_cast	O
CC_and	O
NN_crew	O
IN_of	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
NN_show	O
NN_cast	O
CC_and	O
NN_crew	O
IN_for	O
DT_the	O
NN_movie	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
WP_what	O
VBZ_be	O
DT_the	O
NN_cast	O
IN_for	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
WP_who	O
VVD_play	O
IN_in	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
WP_who	O
VVD_play	O
IN_in	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
WP_who	O
VBD_be	O
IN_in	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
WP_who	O
VBD_be	O
NP_Roberto	B-actor.name
NP_Benigni	I-actor.name
POS_'s	O
NNS_costar	O
IN_on	O
NN_life	B-movie.name
VBZ_be	I-movie.name
JJ_beautiful	I-movie.name
	
NNS_i	O
VBP_be	O
VVG_look	O
IN_for	O
DT_the	O
NN_actor	O
WDT_that	O
VVD_play	O
IN_in	O
JJ_pretty	B-movie.name
NNS_woman	I-movie.name
	
NN_star	O
IN_of	O
NN_troy	B-movie.name
	
WP_who	O
VVD_play	O
NN_robin	B-character.name
IN_in	O
NN_batman	B-movie.name
RB_forever	I-movie.name
	
VV_find	O
DT_the	O
